"Brand","Symptom","Freq"
"ノーシン錠","吐き気や嘔吐をともなう",6
"ノーシン錠","肩や首筋がこっている",19
"ノーシン錠","手足がしびれる",8
"ノーシン錠","体を動かすと痛みが増す",4
"ノーシン錠","温めると痛みが増す",2
"ノーシン錠","飲酒により痛みが増す",1
"ノーシン錠","マッサージや指圧で痛みが増す",2
"ノーシン錠","その他",0
"ノーシンピュア","ズキンズキン痛む",38
"ノーシンピュア","ガンガン痛む",7
"ノーシンピュア","キリキリ痛む",8
"ノーシンピュア","ドーンと痛む",8
"ノーシンピュア","ジワーッと痛む",5
"ノーシンピュア","ギューッと痛む",7
"ノーシンピュア","締め付けられるように痛む",10
"ノーシンピュア","脈にあわせて痛む",16
"ノーシンピュア","鈍痛がある",12
"ノーシンピュア","頭の一部が敏感になる",4
"ノーシンピュア","痛みの前兆症状がある（チカチカ光るなど）",5
"ノーシンピュア","予兆予感を感じる_眠気だるさなど",10
"ノーシンピュア","吐き気や嘔吐をともなう",12
"ノーシンピュア","肩や首筋がこっている",25
"ノーシンピュア","手足がしびれる",2
"ノーシンピュア","体を動かすと痛みが増す",7
"ノーシンピュア","温めると痛みが増す",1
"ノーシンピュア","飲酒により痛みが増す",4
"ノーシンピュア","マッサージや指圧で痛みが増す",1
"ノーシンピュア","その他",0
"ナロンエース","ズキンズキン痛む",40
"ナロンエース","ガンガン痛む",16
"ナロンエース","キリキリ痛む",5
"ナロンエース","ドーンと痛む",4
"ナロンエース","ジワーッと痛む",11
"ナロンエース","ギューッと痛む",9
"ナロンエース","締め付けられるように痛む",14
"ナロンエース","脈にあわせて痛む",17
"ナロンエース","鈍痛がある",10
"ナロンエース","頭の一部が敏感になる",2
"ナロンエース","痛みの前兆症状がある（チカチカ光るなど）",3
"ナロンエース","予兆予感を感じる_眠気だるさなど",6
"ナロンエース","吐き気や嘔吐をともなう",12
"ナロンエース","肩や首筋がこっている",23
"ナロンエース","手足がしびれる",1
"ナロンエース","体を動かすと痛みが増す",5
"ナロンエース","温めると痛みが増す",0
"ナロンエース","飲酒により痛みが増す",1
"ナロンエース","マッサージや指圧で痛みが増す",2
"ナロンエース","その他",1
"リングルアイビー","ズキンズキン痛む",30
"リングルアイビー","ガンガン痛む",10
"リングルアイビー","キリキリ痛む",2
"リングルアイビー","ドーンと痛む",3
"リングルアイビー","ジワーッと痛む",12
"リングルアイビー","ギューッと痛む",9
