SOC,PT,Drug,Dsize,Placebo,Psize
耳および迷路障害,難聴,1,219,0,219
呼吸器、胸郭および縦隔障害,小児喘息,0,219,1,219
呼吸器、胸郭および縦隔障害,口腔咽頭水疱形成,0,219,1,219
胃腸障害,口腔そう痒症,47,219,4,219
胃腸障害,口腔浮腫,36,219,0,219
胃腸障害,口腔腫脹,22,219,1,219
胃腸障害,腹痛,19,219,5,219
胃腸障害,口内炎,15,219,20,219
胃腸障害,嘔吐,12,219,3,219
胃腸障害,口腔内不快感,10,219,2,219
胃腸障害,口唇腫脹,9,219,0,219
胃腸障害,悪心,9,219,2,219
胃腸障害,口腔粘膜紅斑,9,219,2,219
胃腸障害,舌そう痒症,9,219,1,219
胃腸障害,腹部不快感,6,219,0,219
胃腸障害,上腹部痛,6,219,1,219
胃腸障害,下痢,5,219,5,219
胃腸障害,胃炎,5,219,3,219
胃腸障害,口唇浮腫,5,219,0,219
胃腸障害,口唇炎,4,219,3,219
胃腸障害,齲歯,3,219,7,219
胃腸障害,口腔内痛,3,219,0,219
胃腸障害,舌腫脹,3,219,0,219
耳および迷路障害,耳鳴,1,219,0,219
耳および迷路障害,内耳障害,1,219,0,219
呼吸器、胸郭および縦隔障害,カタル,1,219,0,219
呼吸器、胸郭および縦隔障害,咽喉乾燥,1,219,0,219
胃腸障害,アフタ性口内炎,1,219,2,219
呼吸器、胸郭および縦隔障害,鼻の炎症,1,219,0,219
呼吸器、胸郭および縦隔障害,鼻閉塞,1,219,0,219
呼吸器、胸郭および縦隔障害,鼻そう痒症,1,219,0,219
胃腸障害,下腹部痛,1,219,0,219
胃腸障害,消化不良,1,219,0,219
胃腸障害,小腸炎,1,219,0,219
胃腸障害,腸炎,1,219,0,219
胃腸障害,おくび,1,219,0,219
胃腸障害,舌炎,1,219,0,219
胃腸障害,口唇痛,1,219,0,219
胃腸障害,食道痛,1,219,0,219
胃腸障害,唾液腺結石,1,219,0,219
胃腸障害,便秘,0,219,1,219
胃腸障害,食中毒,0,219,1,219
胃腸障害,胃食道逆流性疾患,0,219,2,219
胃腸障害,消化器痛,0,219,1,219
胃腸障害,歯肉出血,0,219,1,219
胃腸障害,軟便,0,219,1,219
皮膚および皮下組織障害,湿疹,11,219,17,219
